ticker,registryclosedate,value,currencyid
NVTK,2022-10-09,45.0,RUB
NVTK,2023-05-03,60.58,RUB
NVTK,2023-10-10,34.5,RUB
NVTK,2024-03-26,44.09,RUB
NVTK,2024-10-11,35.5,RUB
NVTK,2025-04-28,46.65,RUB
PHOR,2013-09-06,15.45,RUB
PHOR,2014-06-24,19.3,RUB
PHOR,2014-09-29,25.0,RUB
PHOR,2015-01-11,20.0,RUB
PHOR,2015-05-27,48.0,RUB
PHOR,2015-06-19,15.0,RUB
PHOR,2015-10-17,57.0,RUB
PHOR,2016-01-26,63.0,RUB
PHOR,2016-06-11,57.0,RUB
PHOR,2016-08-10,63.0,RUB
PHOR,2016-10-14,33.0,RUB
PHOR,2017-01-27,39.0,RUB
PHOR,2017-06-13,30.0,RUB
PHOR,2017-07-17,21.0,RUB
PHOR,2017-10-13,24.0,RUB
PHOR,2018-03-12,21.0,RUB
PHOR,2018-06-13,15.0,RUB
PHOR,2018-07-23,24.0,RUB
PHOR,2018-10-12,45.0,RUB
PHOR,2019-02-04,72.0,RUB
PHOR,2019-06-10,51.0,RUB
PHOR,2019-07-10,72.0,RUB
PHOR,2019-10-15,54.0,RUB
PHOR,2020-02-04,48.0,RUB
PHOR,2020-06-02,18.0,RUB
PHOR,2020-07-06,78.0,RUB
PHOR,2020-10-15,33.0,RUB
PHOR,2020-12-25,123.0,RUB
PHOR,2021-06-07,63.0,RUB
PHOR,2021-07-05,105.0,RUB
PHOR,2021-09-24,156.0,RUB
PHOR,2021-12-20,234.0,RUB
PHOR,2022-07-11,390.0,RUB
PHOR,2022-10-03,780.0,RUB
PHOR,2022-12-19,318.0,RUB
PHOR,2023-04-04,465.0,RUB
PHOR,2023-07-11,216.0,RUB
PHOR,2023-10-11,126.0,RUB
PHOR,2023-12-25,291.0,RUB
PHOR,2024-07-11,294.0,RUB
PHOR,2024-09-22,117.0,RUB
PHOR,2024-12-22,126.0,RUB
PHOR,2025-04-20,171.0,RUB
PHOR,2025-06-09,87.0,RUB
PHOR,2025-07-05,201.0,RUB
PIKK,2014-11-05,4.16,RUB
PIKK,2018-09-04,22.71,RUB
PIKK,2019-06-03,22.71,RUB
PIKK,2020-10-12,22.71,RUB
PIKK,2021-05-17,22.51,RUB
PLZL,2017-07-17,152.41,RUB
PLZL,2017-09-25,104.3,RUB
PLZL,2018-06-10,147.12,RUB
PLZL,2018-10-18,131.11,RUB
PLZL,2019-05-16,143.62,RUB
PLZL,2019-10-10,162.98,RUB
PLZL,2020-08-28,244.75,RUB
PLZL,2020-10-20,240.18,RUB
PLZL,2021-06-07,387.15,RUB
PLZL,2021-10-11,267.48,RUB
PLZL,2023-06-16,436.79,RUB
PLZL,2024-12-13,1301.75,RUB
PLZL,2025-04-25,73.0,RUB
POSI,2022-05-08,14.4,RUB
POSI,2022-11-14,5.16,RUB
POSI,2023-04-16,37.87,RUB
POSI,2023-05-22,18.94,RUB
POSI,2023-12-03,15.8,RUB
POSI,2024-04-20,47.3,RUB
POSI,2024-05-24,47.33,RUB
RENI,2023-10-10,7.7,RUB
RENI,2024-07-05,2.3,RUB
RENI,2024-12-20,3.6,RUB
RENI,2025-07-15,6.4,RUB
ROSN,2014-07-08,12.85,RUB
ROSN,2015-06-29,8.21,RUB
ROSN,2016-06-27,11.75,RUB
ROSN,2017-07-03,5.98,RUB
ROSN,2017-10-10,3.83,RUB
ROSN,2018-07-02,6.65,RUB
ROSN,2018-10-09,14.58,RUB
ROSN,2019-06-17,11.33,RUB
ROSN,2019-10-11,15.34,RUB
ROSN,2020-06-15,18.07,RUB
ROSN,2021-06-15,6.94,RUB
ROSN,2021-10-11,18.03,RUB
ROSN,2022-07-11,23.63,RUB
ROSN,2023-01-12,20.39,RUB
ROSN,2023-07-11,17.97,RUB
ROSN,2024-01-11,30.77,RUB
ROSN,2024-07-09,29.01,RUB
ROSN,2025-01-10,36.47,RUB
ROSN,2025-07-20,14.68,RUB
RTKM,2014-07-14,3.12,RUB
RTKM,2015-07-03,3.34,RUB
RTKM,2016-07-08,5.92,RUB
RTKM,2017-07-07,5.39,RUB
RTKM,2018-07-08,5.045825249373,RUB
RTKM,2019-01-13,2.5,RUB
RTKM,2019-07-04,2.5,RUB
RTKM,2020-08-21,5.0,RUB
RTKM,2021-07-12,5.0,RUB
RTKM,2022-07-20,4.56,RUB
RTKM,2023-12-01,5.4465,RUB
RTKM,2024-09-27,6.06,RUB
RTKM,2025-08-13,2.71,RUB
RUAL,2022-10-20,0.02,USD
SBER,2019-06-13,16.0,RUB
SBER,2020-10-05,18.7,RUB
SBER,2021-05-12,18.7,RUB
SBER,2023-05-11,25.0,RUB
SBER,2024-07-11,33.3,RUB
SBER,2025-07-18,34.84,RUB
SBERP,2019-06-13,16.0,RUB
SBERP,2020-10-05,18.7,RUB
SBERP,2021-05-12,18.7,RUB
SBERP,2023-05-11,25.0,RUB
SBERP,2024-07-11,33.3,RUB
SBERP,2025-07-18,34.84,RUB
SMLT,2019-01-09,1.7,RUB
SMLT,2019-04-22,5.0,RUB
SMLT,2019-07-10,5.0,RUB
SMLT,2021-07-10,41.0,RUB
SMLT,2021-10-15,41.0,RUB
SMLT,2022-07-11,41.0,RUB
SMLT,2022-10-12,41.0,RUB
SNGS,2014-07-16,0.6,RUB
SNGS,2015-07-16,0.65,RUB
SNGS,2016-07-18,0.6,RUB
SNGS,2017-07-19,0.6,RUB
SNGS,2018-07-19,0.65,RUB
SNGS,2019-07-18,0.65,RUB
SNGS,2020-07-20,0.65,RUB
SNGS,2021-07-20,0.7,RUB
SNGS,2022-07-20,0.8,RUB
SNGS,2023-07-20,0.8,RUB
SNGS,2024-07-18,0.85,RUB
SNGS,2025-07-17,0.9,RUB
SNGSP,2014-07-16,2.36,RUB
SNGSP,2015-07-16,8.21,RUB
SNGSP,2016-07-18,6.92,RUB
SNGSP,2017-07-19,0.6,RUB
SNGSP,2018-07-19,1.38,RUB
SNGSP,2019-07-18,7.62,RUB
SNGSP,2020-07-20,0.97,RUB
SNGSP,2021-07-20,6.72,RUB
SNGSP,2022-07-20,4.73,RUB
SNGSP,2023-07-20,0.8,RUB
SNGSP,2024-07-18,12.29,RUB
SNGSP,2025-07-17,8.5,RUB
SVCB,2018-11-08,0.0801497515821,RUB
SVCB,2019-01-21,0.1602995031642,RUB
SVCB,2019-05-11,0.0507767680824497,RUB
SVCB,2019-07-01,0.088859344144287,RUB
SVCB,2019-09-26,0.116786566589634,RUB
SVCB,2020-01-04,0.111708889781389,RUB
SVCB,2021-02-14,0.2792722244534733,RUB
SVCB,2021-07-11,0.0660097985071846,RUB
SVCB,2023-11-13,0.262531330926804,RUB
SVCB,2024-07-08,1.14,RUB
SVCB,2025-07-08,0.35,RUB
T,2024-11-25,92.5,RUB
T,2025-05-16,32.0,RUB
T,2025-07-17,33.0,RUB
TATN,2018-07-06,12.16,RUB
TATN,2018-10-12,30.27,RUB
TATN,2019-01-09,22.26,RUB
TATN,2019-07-05,32.38,RUB
TATN,2019-09-27,40.11,RUB
TATN,2019-12-30,24.36,RUB
TATN,2020-06-30,0.0,RUB
TATN,2020-10-12,9.94,RUB
TATN,2021-07-09,12.3,RUB
TATN,2021-10-12,16.52,RUB
TATN,2022-01-10,9.98,RUB
TATN,2022-07-08,16.14,RUB
TATN,2022-10-11,32.71,RUB
TATN,2023-01-10,6.86,RUB
TATN,2023-07-04,27.71,RUB
TATN,2023-07-11,27.71,RUB
TATN,2023-10-11,27.54,RUB
TATN,2024-01-09,35.17,RUB
TATN,2024-07-04,25.17,RUB
TATN,2024-07-09,25.17,RUB
TATN,2024-10-08,38.2,RUB
TATN,2025-01-08,17.39,RUB
TATN,2025-06-02,43.11,RUB
TATNP,2018-07-06,12.16,RUB
TATNP,2018-10-12,30.27,RUB
TATNP,2019-01-09,22.26,RUB
TATNP,2019-07-05,32.38,RUB
TATNP,2019-09-27,40.11,RUB
TATNP,2019-12-30,24.36,RUB
TATNP,2020-06-30,1.0,RUB
TATNP,2020-10-12,9.94,RUB
TATNP,2021-07-09,12.3,RUB
TATNP,2021-10-12,16.52,RUB
TATNP,2022-01-10,9.98,RUB
TATNP,2022-07-08,16.14,RUB
TATNP,2022-10-11,32.71,RUB
TATNP,2023-01-10,6.86,RUB
TATNP,2023-07-04,27.71,RUB
TATNP,2023-07-11,27.71,RUB
TATNP,2023-10-11,27.54,RUB
TATNP,2024-01-09,35.17,RUB
TATNP,2024-07-04,25.17,RUB
TATNP,2024-07-09,25.17,RUB
TATNP,2024-10-08,38.2,RUB
TATNP,2025-01-08,17.39,RUB
TATNP,2025-06-02,43.11,RUB
TRNFP,2018-07-10,7578.27,RUB
TRNFP,2019-07-20,10705.95,RUB
TRNFP,2020-10-20,11612.2,RUB
TRNFP,2021-07-19,9224.28,RUB
TRNFP,2022-07-20,10497.36,RUB
TRNFP,2023-07-20,16665.2,RUB
TRNFP,2024-07-18,177.2,RUB
TRNFP,2025-07-17,198.25,RUB
UGLD,2019-07-08,0.018,RUB
UGLD,2021-08-27,0.005,RUB
UPRO,2018-07-03,0.1110252759795,RUB
UPRO,2018-12-18,0.1110252759795,RUB
UPRO,2019-06-25,0.111025275979,RUB
UPRO,2019-12-15,0.111025275979,RUB
UPRO,2020-06-22,0.111025275979,RUB
UPRO,2020-12-20,0.111025275979,RUB
UPRO,2021-06-22,0.126886029691,RUB
UPRO,2021-12-17,0.190329044536,RUB
VTBR,2014-07-01,0.0,RUB
VTBR,2015-07-06,0.0,RUB
VTBR,2016-07-04,0.0,RUB
VTBR,2016-12-26,0.01,RUB
VTBR,2017-05-10,0.0,RUB
VTBR,2018-06-04,0.0,RUB
VTBR,2019-06-24,0.00109867761463259,RUB
VTBR,2020-10-05,0.00077345337561138,RUB
VTBR,2021-06-22,1.73965919370917e-05,RUB
VTBR,2021-07-15,1.73965919370917e-05,RUB
VTBR,2025-07-11,25.58,RUB
X5,2025-07-09,648.0,RUB
YDEX,2024-09-20,80.0,RUB
YDEX,2025-04-28,80.0,RUB
